,formulaA_elements_BulkModulus,formulaB_elements_BulkModulus,formulaA_elements_CovalentRadius,formulaB_elements_CovalentRadius,formulaA_elements_ElectronSurfaceDensityWS,formulaB_elements_ElectronSurfaceDensityWS,formulaA_elements_FirstIonizationEnergy,formulaB_elements_FirstIonizationEnergy,formulaA_elements_GSenergy_pa,formulaB_elements_GSenergy_pa,formulaA_elements_HeatCapacityMass,formulaB_elements_HeatCapacityMass,formulaA_elements_HeatFusion,formulaB_elements_HeatFusion,formulaA_elements_MendeleevNumber,formulaB_elements_MendeleevNumber,formulaA_elements_Polarizability,formulaB_elements_Polarizability,avg_elements_AtomicVolume,diff_elements_AtomicVolume,avg_elements_AtomicWeight,diff_elements_AtomicWeight,avg_elements_BoilingT,diff_elements_BoilingT,avg_elements_BulkModulus,diff_elements_BulkModulus,avg_elements_Column,diff_elements_Column,avg_elements_CovalentRadius,diff_elements_CovalentRadius,avg_elements_Density,diff_elements_Density,avg_elements_ElectronSurfaceDensityWS,diff_elements_ElectronSurfaceDensityWS,avg_elements_Electronegativity,diff_elements_Electronegativity,avg_elements_FirstIonizationEnergy,diff_elements_FirstIonizationEnergy,avg_elements_GSbandgap,diff_elements_GSbandgap,avg_elements_GSenergy_pa,diff_elements_GSenergy_pa,avg_elements_GSestBCClatcnt,diff_elements_GSestBCClatcnt,avg_elements_GSestFCClatcnt,diff_elements_GSestFCClatcnt,avg_elements_GSvolume_pa,diff_elements_GSvolume_pa,avg_elements_HHIp,diff_elements_HHIp,avg_elements_HHIr,diff_elements_HHIr,avg_elements_HeatCapacityMass,diff_elements_HeatCapacityMass,avg_elements_HeatCapacityMolar,diff_elements_HeatCapacityMolar,avg_elements_HeatFusion,diff_elements_HeatFusion,avg_elements_ICSDVolume,diff_elements_ICSDVolume,avg_elements_MeltingT,diff_elements_MeltingT,avg_elements_MendeleevNumber,diff_elements_MendeleevNumber,avg_elements_MiracleRadius,diff_elements_MiracleRadius,avg_elements_NUnfilled,diff_elements_NUnfilled,avg_elements_NValance,diff_elements_NValance,avg_elements_NdValence,diff_elements_NdValence,avg_elements_Number,diff_elements_Number,avg_elements_Polarizability,diff_elements_Polarizability,avg_elements_ShearModulus,diff_elements_ShearModulus
1366,32.0,46.0,201,146,1.2,1.15,5.525,7.4166300000000005,-4.76235134,-3.62902961,0.19,0.13,7.14,4.774,19,81,31.4,6.995,32.255238945,3.8276318699999976,175.721,-62.95799999999997,2697.5,1351.0,39.0,-14.0,8.5,-11,173.5,55,9175.0,-4330.0,1.1749999999999998,0.050000000000000044,1.7349999999999999,-1.1900000000000002,6.470815,-1.8916300000000001,0.0,0.0,-4.195690475,-1.1333217300000005,3.9723400385,0.2829483230000003,5.0048348325,0.3564925489999995,31.46,6.700000000000003,6100.0,6800,2450.0,1300,0.16,0.06,26.075,2.75,5.957,2.3659999999999997,32.260000000000005,3.8800000000000026,947.3050000000001,693.39,50.0,-62,178.0,8,7.0,6,17.0,-22,5.0,-10,71.0,-22,19.197499999999998,24.404999999999998,10.8,10.4
1367,32.0,180.0,201,139,1.2,1.67,5.525,8.3369,-4.76235134,-5.13777457,0.19,0.244,7.14,16.74,19,62,31.4,4.8,24.433720575,19.470668609999997,125.33100000000002,37.82200000000002,3304.5,137.0,106.0,-148.0,6.5,-7,170.0,62,9516.5,-5013.0,1.435,-0.47,1.67,-1.0600000000000003,6.93095,-2.8118999999999996,0.0,0.0,-4.950062955,0.37542323,3.5898806555,1.047867089,4.5229662049999995,1.3202298039999993,24.61,20.400000000000002,6350.0,6300,5550.0,-4900,0.217,-0.05399999999999999,26.715,1.4699999999999989,11.94,-9.599999999999998,24.46,19.480000000000004,1561.025,-534.05,40.5,-43,162.0,40,5.0,10,8.0,-4,5.0,-10,53.0,14,18.099999999999998,26.599999999999998,30.0,-28.0
1368,32.0,29.0,201,203,1.2,1.2,5.525,5.473,-4.76235134,-4.77382996,0.19,0.193,7.14,6.89,19,17,31.4,28.2,34.704115305,-1.0701208500000021,142.574825,3.334350000000029,3468.0,-190.0,30.5,3.0,3.0,0,202.0,-2,6825.0,370.0,1.2,0.0,1.1349999999999998,0.010000000000000009,5.4990000000000006,0.05200000000000049,0.0,0.0,-4.7680906499999995,0.011478619999999218,4.13071248,-0.033796559999999864,5.204371605,-0.04258099600000076,35.2425,-0.8649999999999949,9500.0,0,3100.0,0,0.1915,-0.0030000000000000027,27.325,0.25,7.015,0.25,34.35,-0.29999999999999716,1249.0,90.0,18.0,2,182.5,-1,10.5,-1,5.5,1,0.0,0,59.5,1,29.799999999999997,3.1999999999999993,15.5,1.0
1369,32.0,7.7,201,105,1.2,0.0,5.525,10.36001,-4.76235134,-4.0972167189999995,0.19,0.708,7.14,1.7209999999999999,19,88,31.4,2.9,30.667800335,7.002509089999997,88.15350000000001,112.17700000000002,2045.3600000000001,2655.2799999999997,19.85,24.3,9.5,-13,153.0,96,4485.0,5050.0,0.6,1.2,1.8599999999999999,-1.4400000000000002,7.942505000000001,-4.8350100000000005,1.101,-2.202,-4.4297840295,-0.6651346210000009,3.9180493775,0.3915296450000003,4.9364328854999995,0.4932964430000002,30.2984375,9.023125000000004,5100.0,8800,2050.0,2100,0.44899999999999995,-0.518,25.075,4.75,4.430499999999999,5.419,29.980000000000004,8.440000000000001,841.1800000000001,905.64,53.5,-69,142.5,79,6.0,8,6.0,0,0.0,0,38.0,44,17.15,28.5,8.0,16.0
1370,32.0,8.3,201,120,1.2,0.0,5.525,9.75239,-4.76235134,-3.47079191,0.19,0.321,7.14,6.69,19,89,31.4,3.77,30.688929754999997,6.960250249999998,111.601,65.28200000000002,2165.5,2415.0,20.15,23.7,9.5,-13,160.5,81,5914.5,2191.0,0.6,1.2,1.8449999999999998,-1.41,7.638695,-4.22739,0.3995,-0.799,-4.116571625000001,-1.2915594300000004,3.9212466035,0.38513519300000043,4.940461138,0.4852399379999994,30.365000000000002,8.89,5850.0,7300,4550.0,-2900,0.2555,-0.131,26.4065,2.086999999999996,6.915,0.4499999999999993,32.005,4.390000000000004,894.0,800.0,54.0,-70,150.0,64,6.0,8,11.0,-10,5.0,-10,47.0,26,17.585,27.63,9.85,12.3
1371,32.0,38.0,201,198,1.2,1.21,5.525,5.6437,-4.76235134,-4.713379635,0.19,0.196,7.14,8.62,19,23,31.4,28.8,34.062936945,0.21223587000000066,147.30100000000002,-6.117999999999995,2724.5,1297.0,35.0,-6.0,3.0,0,199.5,3,7181.5,-343.0,1.205,-0.010000000000000009,1.1549999999999998,-0.030000000000000027,5.584350000000001,-0.11869999999999958,0.0,0.0,-4.737865487500001,-0.048971705000000476,4.082210616,0.06320716799999992,5.143263085499999,0.07963604299999982,34.019999999999996,1.5800000000000054,9500.0,0,3100.0,0,0.193,-0.006000000000000005,28.494999999999997,-2.09,7.879999999999999,-1.4799999999999995,33.67,1.0600000000000023,1319.5,-51.0,21.0,-4,183.5,-3,9.0,2,7.0,-2,0.0,0,61.0,-2,30.1,2.599999999999998,18.0,-4.0
1372,32.0,0.0,201,195,1.2,0.84,5.525,5.69485,-4.76235134,-1.6828136000000002,0.19,0.306,7.14,7.43,19,8,31.4,25.55,44.746092829999995,-21.154075900000002,115.93100000000001,56.622000000000014,2514.0,1718.0,16.0,32.0,2.5,1,198.0,6,4820.0,4380.0,1.02,0.36,1.045,0.18999999999999995,5.6099250000000005,-0.1698499999999994,0.0,0.0,-3.2225824700000003,-3.07953774,4.441384466000001,-0.6551405319999999,5.595793779999999,-0.8254253460000003,44.519999999999996,-19.419999999999995,6850.0,5300,3050.0,100,0.248,-0.11599999999999999,27.119999999999997,0.6600000000000001,7.285,-0.29000000000000004,45.14,-21.879999999999995,1172.0,244.0,13.5,11,197.0,-30,5.0,10,4.0,4,0.0,0,49.0,22,28.475,5.849999999999998,11.05,9.9
1373,32.0,200.0,201,170,1.2,1.63,5.525,7.54957,-4.76235134,-11.85139954,0.19,0.14,7.14,36.57,19,48,31.4,13.1,26.107892219999997,16.122325319999998,162.59494,-36.70587999999998,4552.0,-2358.0,116.0,-168.0,4.0,-2,185.5,31,11830.0,-9640.0,1.415,-0.42999999999999994,1.3199999999999998,-0.3600000000000001,6.537285000000001,-2.0245699999999998,0.0,0.0,-8.306875439999999,7.089048199999999,3.7115314095,0.8045655810000003,4.676236551,1.0136891119999998,26.465000000000003,16.69,5900.0,7200,3950.0,-1700,0.165,0.04999999999999999,26.405,2.09,21.855,-29.43,25.925,16.550000000000004,2292.0,-1996.0,33.5,-29,163.5,37,8.5,3,12.5,-13,1.5,-3,66.5,-13,22.25,18.299999999999997,42.5,-53.0
1374,32.0,0.0,201,147,1.2,1.81,5.525,7.28,-4.76235134,-10.355151199999998,0.19,0.0,7.14,33.29,19,53,31.4,11.4,24.160033194999997,20.018043369999997,121.12100000000001,46.24200000000002,3955.5,-1165.0,16.0,32.0,5.0,-4,174.0,54,9255.0,-4490.0,1.505,-0.6100000000000001,1.52,-0.76,6.4025,-1.755,0.0,0.0,-7.558751269999999,5.592799859999998,3.5854351675,1.0567580650000004,4.517365241,1.3314317319999995,24.5475,20.525000000000002,4750.0,9500,1550.0,3100,0.095,0.19,13.725,27.45,20.215,-26.15,24.21,19.980000000000004,1862.0,-1136.0,36.0,-34,159.0,46,7.5,5,6.5,-1,2.5,-5,51.5,17,21.4,20.0,8.0,16.0
1375,32.0,45.0,201,190,1.2,1.23,5.525,6.18431,-4.76235134,-4.47387849,0.19,0.16,7.14,16.84,19,37,31.4,21.8,32.132720365,4.072669029999997,156.588105,-24.69220999999999,2798.0,1150.0,38.5,-13.0,3.0,0,195.5,11,8165.5,-2311.0,1.2149999999999999,-0.030000000000000027,1.1949999999999998,-0.1100000000000001,5.854655,-0.6593099999999996,0.0,0.0,-4.618114915,-0.28847285000000067,4.009544338,0.20853972399999998,5.0517093125,0.2627435889999994,32.295,5.030000000000001,9500.0,0,3100.0,0,0.175,0.03,27.240000000000002,0.41999999999999815,11.99,-9.7,32.17,4.060000000000002,1556.0,-524.0,28.0,-18,178.5,7,5.5,9,10.5,-9,0.0,0,64.5,-9,26.6,9.599999999999998,23.5,-15.0
1376,32.0,100.0,201,196,1.2,1.51,5.525,6.1941,-4.76235134,-11.29233996,0.19,0.11599999999999999,7.14,9.14,19,20,31.4,24.9,27.458951139999996,13.420207479999998,191.135455,-93.78690999999998,3786.5,-827.0,66.0,-68.0,3.0,0,198.5,5,13030.0,-12040.0,1.355,-0.31000000000000005,1.2599999999999998,-0.24,5.8595500000000005,-0.6690999999999994,0.0,0.0,-8.02734565,6.529988619999999,3.7675952400000003,0.6924379200000002,4.746872550999999,0.8724171119999999,27.4175,14.785000000000004,4750.0,9500,1550.0,3100,0.153,0.07400000000000001,27.557499999999997,-0.21499999999999986,8.14,-2.000000000000001,27.69,13.020000000000003,1351.0,-114.0,19.5,-1,170.0,24,15.0,-10,6.0,0,0.5,-1,76.0,-32,28.15,6.5,63.5,-95.0
1377,0.0,0.0,58,215,0.0,0.0,21.56454,5.17,0.09403567,-4.1050022980000005,1.03,0.12,0.16399999999999998,12.0,99,14,0.39432,32.1,18634.80938815,37194.7526037,123.58955,-206.8209,1749.96,-3446.08,0.0,0.0,10.5,15,136.5,-157,5035.45,-10069.1,0.0,0.0,0.55,-1.1,13.367270000000001,16.39454,6.544,13.088,-2.005483314,4.199037968000001,3.700028336,-1.530269536,4.661743586,-1.9280187999999998,28.57625,-31.872500000000002,0.0,0,0.0,0,0.575,0.91,23.993,-6.4140000000000015,6.082,-11.836,30.270000000000003,-14.360000000000003,673.78,-1298.44,56.5,85,0.0,0,4.5,-9,5.5,5,0.5,-1,49.5,-79,16.24716,-31.70568,0.0,0.0
1378,0.0,0.0,58,106,0.0,0.0,21.56454,15.75961,0.09403567,0.05854104,1.03,0.52,0.16399999999999998,1.18,99,100,0.39432,1.6411,37208.235555,47.90026999999827,30.06355,-19.768900000000002,57.06,-60.28,0.0,0.0,18.0,0,82.0,-48,1.342,-0.884,0.0,0.0,0.0,0.0,18.662075,5.804930000000001,11.174,3.8279999999999994,0.076288355,0.03549463,3.392597163,-0.9154071899999998,4.2744045795000005,-1.1533407869999999,20.59,-15.899999999999999,0.0,0,0.0,0,0.775,0.51,20.785999999999998,0.0,0.6719999999999999,-1.016,29.695,-13.209999999999997,54.18,-59.239999999999995,99.5,-1,0.0,0,0.0,0,8.0,0,0.0,0,14.0,-8,1.0177100000000001,-1.24678,0.0,0.0
1379,0.0,220.0,58,136,0.0,1.57,21.56454,9.225530000000001,0.09403567,-3.20969261,1.03,0.129,0.16399999999999998,12.55,99,66,0.39432,5.8,18624.56637681,37215.23862638,108.5728345,-176.787469,1577.96,-3102.08,110.0,-220.0,14.5,7,97.0,-78,9650.45,-19299.1,0.785,-1.57,1.27,-2.54,15.395035,12.33901,6.544,13.088,-1.55782847,3.3037282799999996,3.07766781,-0.28554848399999955,3.8776184585000006,-0.3597685450000001,14.67,-4.059999999999999,550.0,-1100,500.0,-1000,0.5795,0.901,23.102,-4.632000000000005,6.357,-12.386000000000001,20.025,6.129999999999999,680.9449999999999,-1312.77,82.5,33,71.5,-143,0.5,-1,16.5,-17,5.0,-10,44.5,-69,3.0971599999999997,-5.40568,13.5,-27.0
1380,0.0,9.6,58,215,0.0,0.81,21.56454,5.211664,0.09403567,-1.92352226,1.03,0.204,0.16399999999999998,7.12,99,9,0.39432,39.7,18648.577485834998,37167.21640833,78.75305,-117.14789999999999,1084.96,-2116.08,4.8,-9.6,10.0,16,136.5,-157,1755.45,-3509.1,0.405,-0.81,0.445,-0.89,13.388102,16.352876000000002,6.544,13.088,-0.914743295,2.0175579299999997,3.9818964395,-2.094005743,5.016875143,-2.638281913999999,38.115,-50.95,1500.0,-3000,1150.0,-2300,0.617,0.8260000000000001,24.427999999999997,-7.2840000000000025,3.642,-6.956,42.985,-39.790000000000006,512.28,-975.44,54.0,90,111.5,-223,0.0,0,5.0,6,0.0,0,33.0,-46,20.04716,-39.30568,2.45,-4.9
1381,0.0,130.0,58,96,0.0,1.67,21.56454,9.3227,0.09403567,-3.755038695,1.03,1.825,0.16399999999999998,7.895,99,67,0.39432,5.6,18620.1419332275,37224.087513545,14.595641,11.166917999999997,1384.96,-2716.08,65.0,-130.0,10.0,16,77.0,-38,924.45,-1847.1,0.835,-1.67,0.785,-1.57,15.44362,12.241840000000002,6.544,13.088,-1.8305015125000001,3.849074365,2.7215665245,0.4266540870000002,3.4289589535000005,0.5375504650000003,10.265,4.750000000000001,4000.0,-8000,2000.0,-4000,1.4275,-0.7949999999999999,18.6145,4.343,4.0295,-7.731,15.6,14.98,792.28,-1535.44,83.0,32,56.0,-112,0.0,0,5.0,6,0.0,0,7.0,6,2.99716,-5.205679999999999,66.0,-132.0
1382,0.0,31.0,58,148,0.0,1.16,21.56454,7.2855,0.09403567,-3.9736943999999994,1.03,0.122,0.16399999999999998,11.106,99,86,0.39432,0.4,18633.83457454,37196.70223092,114.57975,-188.8013,931.96,-1810.08,15.5,-31.0,16.5,3,103.0,-90,4890.45,-9779.1,0.58,-1.16,1.01,-2.02,14.42502,14.279040000000002,6.544,13.088,-1.9398293649999998,4.06773007,3.4870457635000003,-1.1043043909999999,4.3934023595000005,-1.3913363469999998,22.795,-20.310000000000002,2650.0,-5300,3000.0,-6000,0.5760000000000001,0.908,23.153,-4.734000000000002,5.635,-10.942,29.235,-12.290000000000003,284.47999999999996,-519.84,92.5,13,81.0,-162,1.5,-3,18.5,-21,5.0,-10,46.5,-73,0.39716,-0.005680000000000018,6.0,-12.0
1383,0.0,17.0,58,176,0.0,0.91,21.56454,6.11316,0.09403567,-1.948329565,1.03,0.647,0.16399999999999998,8.54,99,7,0.39432,25.73333333,18637.56143865,37189.2485027,30.12855,-19.898900000000005,891.96,-1730.08,8.5,-17.0,10.0,16,117.0,-118,775.45,-1549.1,0.455,-0.91,0.5,-1.0,13.83885,15.45138,6.544,13.088,-0.9271469475,2.042365235,3.5810769459999996,-1.2923667559999994,4.511874226000001,-1.6282800800000001,25.205000000000002,-25.130000000000003,1950.0,-3900,750.0,-1500,0.8385,0.383,23.3575,-5.143000000000004,4.351999999999999,-8.376,33.64,-21.099999999999998,569.78,-1090.44,53.0,92,100.5,-201,0.0,0,5.0,6,0.0,0,15.0,-10,13.063826665,-25.33901333,3.7,-7.4
1384,0.0,22.0,58,204,0.0,1.19,21.56454,5.5387,0.09403567,-4.77656965,1.03,0.192,0.16399999999999998,5.46,99,15,0.39432,29.6,18633.485095739998,37197.40118852,80.14755000000001,-119.93690000000001,1829.96,-3606.08,11.0,-22.0,10.5,15,131.0,-146,3344.95,-6688.1,0.595,-1.19,0.56,-1.12,13.55162,16.025840000000002,6.544,13.088,-2.34126699,4.87060532,3.5711439745,-1.2725008130000002,4.4993594660000005,-1.6032505599999998,24.94,-24.6,4750.0,-9500,1550.0,-3100,0.611,0.8380000000000001,23.863,-6.1540000000000035,2.812,-5.296,28.78,-11.379999999999999,547.78,-1046.44,57.0,84,91.0,-182,11.0,-22,6.0,4,0.5,-1,34.0,-48,14.997160000000001,-29.20568,7.0,-14.0
1385,0.0,8.3,58,198,0.0,0.88,21.56454,5.670380000000001,0.09403567,-1.82958684,1.03,0.182,0.16399999999999998,9.21,99,25,0.39432,27.7,18640.15349118,37184.064397639995,86.07155,-131.7849,913.46,-1773.08,4.15,-8.3,10.5,15,128.0,-140,2622.45,-5243.1,0.44,-0.88,0.5925,-1.185,13.617460000000001,15.89416,6.544,13.088,-0.867775585,1.92362251,3.5563527534999997,-1.2429183709999996,4.4807236955,-1.5659790189999998,24.55,-23.82,4750.0,-9500,1550.0,-3100,0.606,0.8480000000000001,24.223,-6.874000000000002,4.687,-9.046000000000001,35.81,-25.44,559.78,-1070.44,62.0,74,98.0,-196,3.5,-7,8.5,-1,0.0,0,36.5,-53,14.04716,-27.30568,3.95,-7.9
1386,0.0,0.0,58,122,0.0,1.31,21.56454,5.999301,0.09403567,-3.0122553030000003,1.03,0.373,0.16399999999999998,5.585,99,74,0.39432,8.12,18625.89810174,37212.57517652,44.951049999999995,-49.5439,1251.96,-2450.08,0.0,0.0,15.5,5,90.0,-64,2952.45,-5903.1,0.655,-1.31,0.905,-1.81,13.7819205,15.565239000000002,6.544,13.088,-1.4591098165000003,3.106290973,3.144221468,-0.4186557999999998,3.9614708135,-0.5274732549999999,15.748750000000001,-6.217500000000001,2750.0,-5500,950.0,-1900,0.7015,0.657,23.408,-5.244000000000003,2.8745,-5.421,21.345,3.4899999999999984,163.735,-278.35,86.5,25,67.0,-134,2.5,-5,10.5,-5,5.0,-10,20.5,-21,4.25716,-7.725679999999999,0.0,0.0
1387,0.0,0.0,58,28,0.0,0.0,21.56454,24.587387,0.09403567,0.0011354000000000002,1.03,5.13,0.16399999999999998,0.0,99,98,0.39432,0.2050522,37234.110625,-3.849870000005467,12.090850999999999,16.176498,15.495000000000001,22.85,0.0,0.0,18.0,0,43.0,30,0.53925,0.7215,0.0,0.0,0.0,0.0,23.0759635,-3.0228469999999987,15.593,-5.01,0.047585535,0.09290027000000001,2.921813328,0.026160480000000153,3.6812541160000003,0.03296014000000014,12.4725,0.33500000000000085,1600.0,-3200,1950.0,-3900,3.08,-4.1,20.785999999999998,0.0,0.08199999999999999,0.16399999999999998,21.085,4.010000000000002,12.28,24.56,98.5,1,0.0,0,0.0,0,5.0,6,0.0,0,6.0,8,0.2996861,0.1892678,0.0,0.0
1388,0.0,40.0,58,192,0.0,1.22,21.56454,6.0215,0.09403567,-4.577416877,1.03,0.165,0.16399999999999998,11.76,99,33,0.39432,23.6,18631.663034955,37201.04531009,92.55471,-144.75122,1499.96,-2946.08,20.0,-40.0,10.5,15,125.0,-134,4397.95,-8794.1,0.61,-1.22,0.615,-1.23,13.79302,15.543040000000001,6.544,13.088,-2.2416906035,4.671452547,3.4407018435,-1.0116165509999995,4.335012679,-1.274556986,21.686666665,-18.09333333,4750.0,-9500,1550.0,-3100,0.5975,0.865,23.967999999999996,-6.364000000000001,5.962,-11.596,27.1,-8.02,885.78,-1722.44,66.0,66,88.5,-177,1.5,-3,10.5,-5,0.0,0,38.5,-57,11.997160000000001,-23.20568,13.0,-26.0
1389,0.0,0.0,58,142,0.0,1.17,21.56454,5.78636,0.09403567,-2.66680196,1.03,0.233,0.16399999999999998,3.2910000000000004,99,75,0.39432,9.65,18629.134174079998,37206.10303184,67.49855,-94.6389,1185.96,-2318.08,0.0,0.0,15.5,5,100.0,-84,3655.45,-7309.1,0.585,-1.17,0.89,-1.78,13.675450000000001,15.77818,6.544,13.088,-1.286383145,2.7608376299999997,3.2911056475000002,-0.7124241589999998,4.1465332825,-0.897598192999999,18.450000000000003,-11.620000000000001,1650.0,-3300,1000.0,-2000,0.6315000000000001,0.797,23.762999999999998,-5.954000000000001,1.7275000000000003,-3.1270000000000002,24.615000000000002,-3.0500000000000007,227.155,-405.19,87.0,24,77.5,-155,2.5,-5,10.5,-5,5.0,-10,29.5,-39,5.02216,-9.25568,0.0,0.0
1390,0.0,320.0,58,141,0.0,1.83,21.56454,8.96702,0.09403567,-8.84851145,1.03,0.131,0.16399999999999998,41.12,99,60,0.39432,7.6,18623.167120235,37218.037139529995,106.19805000000001,-172.0379,2363.96,-4674.08,160.0,-320.0,13.5,9,99.5,-83,11280.45,-22559.1,0.915,-1.83,1.1,-2.2,15.26578,12.597520000000001,6.544,13.088,-4.37723789,8.94254712,2.993295098,-0.11680306000000007,3.7713155030000003,-0.14716263399999985,13.425,-1.5700000000000003,2750.0,-5500,4550.0,-9100,0.5805,0.899,22.942999999999998,-4.314000000000004,20.642,-40.955999999999996,18.485,9.209999999999999,1381.78,-2714.44,79.5,39,68.0,-136,1.5,-3,15.5,-15,3.5,-7,43.5,-67,3.99716,-7.205679999999999,105.0,-210.0
1391,0.0,3.1,58,203,0.0,0.65,21.56454,4.3406633,0.09403567,-1.097539713,1.03,0.757,0.16399999999999998,2.335,99,3,0.39432,43.23,18654.01677734,37156.33782532,29.6387,-18.919200000000004,529.46,-1005.08,1.55,-3.1,9.5,17,130.5,-145,428.45,-855.1,0.325,-0.65,0.41,-0.82,12.95260165,17.2238767,6.544,13.088,-0.5017520215,1.191575383,4.101547221,-2.3333073059999996,5.1676256810000005,-2.93978299,42.873333335,-60.466666669999995,850.0,-1700,3600.0,-7200,0.8935,0.273,25.192999999999998,-8.814000000000004,1.2495,-2.171,49.36,-52.53999999999999,180.545,-311.96999999999997,51.0,96,115.0,-230,0.5,-1,4.5,7,0.0,0,14.5,-9,21.81216,-42.835679999999996,0.65,-1.3
1392,0.0,0.0,58,116,0.0,0.0,21.56454,13.99961,0.09403567,0.08753524,1.03,0.248,0.16399999999999998,1.1640000000000001,99,101,0.39432,2.4844,37169.840215,124.6909500000038,51.98854999999999,-63.61889999999999,73.35,-92.86,0.0,0.0,18.0,0,87.0,-58,2.325,-2.85,0.0,0.0,1.5,-3.0,17.782075,7.56493,10.311499999999999,5.552999999999999,0.090785455,0.0065004300000000015,3.548685568,-1.2275839999999998,4.4710636465,-1.5466589209999992,24.35,-23.42,0.0,0,0.0,0,0.639,0.782,20.785999999999998,0.0,0.664,-1.0000000000000002,33.95,-21.720000000000002,70.175,-91.23,100.0,-2,0.0,0,0.0,0,13.0,-10,5.0,-10,23.0,-26,1.43936,-2.09008,0.0,0.0
1393,0.0,28.0,58,207,0.0,1.18,21.56454,5.5769,0.09403567,-4.927546185,1.03,0.195,0.16399999999999998,6.2,99,13,0.39432,31.1,18634.85816806,37194.65504388,79.542285,-118.72637,1881.96,-3710.08,14.0,-28.0,10.5,15,132.5,-149,3073.45,-6145.1,0.59,-1.18,0.55,-1.1,13.570720000000001,15.98764,6.544,13.088,-2.4167552574999998,5.021581855,3.5646747970000003,-1.259562458,4.491208813,-1.5869492539999999,24.76875,-24.2575,4750.0,-9500,1550.0,-3100,0.6125,0.835,23.948,-6.324000000000002,3.182,-6.0360000000000005,30.255000000000003,-14.330000000000002,608.78,-1168.44,56.0,86,93.5,-187,4.5,-9,5.5,5,0.5,-1,33.5,-47,15.747160000000001,-30.70568,7.0,-14.0
1394,0.0,11.0,58,128,0.0,0.98,21.56454,5.391719,0.09403567,-1.86988691,1.03,3.582,0.16399999999999998,3.0,99,1,0.39432,24.335,18626.86487404,37210.64163192,13.560049999999999,13.2381,820.96,-1588.08,5.5,-11.0,9.5,17,93.0,-70,267.95,-534.1,0.49,-0.98,0.49,-0.98,13.478129500000001,16.172821,6.544,13.088,-0.88792562,1.96392258,3.074232203,-0.2786772700000002,3.8732898655000003,-0.35111135899999946,14.616666665,-3.9533333299999995,1450.0,-2900,2100.0,-4200,2.306,-2.5519999999999996,22.823,-4.074000000000002,1.582,-2.836,22.36,1.4600000000000009,239.125,-429.13,50.0,98,76.0,-152,0.5,-1,4.5,7,0.0,0,6.5,7,12.36466,-23.94068,2.1,-4.2
1395,0.0,48.0,58,187,0.0,1.24,21.56454,5.42586,0.09403567,-4.52300002,1.03,0.154,0.16399999999999998,18.65,99,41,0.39432,21.9,18630.854860954998,37202.66165809,97.57295,-154.7877,1850.96,-3648.08,24.0,-48.0,10.5,15,122.5,-129,4920.95,-9840.1,0.62,-1.24,0.635,-1.27,13.4952,16.13868,6.544,13.088,-2.2144821749999997,4.61703569,3.3998771655000004,-0.9299671950000001,4.2835768085,-1.1716852449999995,20.752499999999998,-16.224999999999998,4750.0,-9500,1550.0,-3100,0.592,0.876,23.823,-6.074000000000002,9.407,-18.485999999999997,26.305,-6.43,980.28,-1911.44,70.0,58,87.5,-175,4.5,-9,12.5,-9,0.5,-1,40.5,-61,11.14716,-21.505679999999998,13.5,-27.0
1396,0.0,120.0,58,139,0.0,1.61,21.56454,7.434019999999999,0.09403567,-9.02056525,1.03,0.479,0.16399999999999998,12.91,99,52,0.39432,9.4,18622.199197235,37219.972985529996,37.5585725,-34.758945,1180.46,-2307.08,60.0,-120.0,12.5,11,98.5,-81,3735.45,-7469.1,0.805,-1.61,0.775,-1.55,14.49928,14.13052,6.544,13.088,-4.46326479,9.11460092,2.8463650275,0.17705708100000006,3.586195214,0.22307794400000036,11.563793105,2.1524137900000007,800.0,-1600,900.0,-1800,0.7545,0.551,23.552999999999997,-5.5340000000000025,6.537,-12.746,17.645,10.89,771.78,-1494.44,75.5,47,66.0,-132,2.5,-5,7.5,1,2.5,-5,17.5,-15,4.89716,-9.00568,39.0,-78.0
1397,0.0,230.0,58,154,0.0,1.77,21.56454,7.09243,0.09403567,-10.84610777,1.03,0.251,0.16399999999999998,37.48,99,50,0.39432,12.8,18623.843285345,37216.68480931,58.06954999999999,-75.7809,2469.46,-4885.08,115.0,-230.0,12.0,12,106.0,-96,5140.45,-10279.1,0.885,-1.77,1.08,-2.16,14.328485,14.47211,6.544,13.088,-5.37603605,10.94014344,3.044528938,-0.2192707399999998,3.8358660965,-0.2762638209999997,14.165,-3.049999999999999,1200.0,-2400,2650.0,-5300,0.6405000000000001,0.779,22.423,-3.274000000000001,18.822,-37.315999999999995,19.34,7.5,1460.28,-2871.44,74.5,49,69.5,-139,3.0,-6,7.0,2,2.5,-5,26.0,-32,6.597160000000001,-12.40568,10.0,-20.0
